,reduced,Emotion
34,"It’s a steamy night in the jungle. A huge one-legged creature with a detached jaw roars in the face of the protagonist, a young Indigenous woman. She grips her double-edged spear in both hands, readying herself for a fight.This is a scene from Araní, a Brazilian game currently in development. The game is named after its lead character, an Indigenous warrior of the Sun Tribe intent on saving her people from a mysterious, mythological power. It was announced in 2018 by Diorama Digital, a studio based in Pernambuco, a state in Northeastern Brazil.Brazil is the fifth-largest country in the world and is home to many different cultures. There are those hailing from the favelas seen in movies like 2002's City of God, and the Carnival parties and tropical bossa nova which are familiar to tourists, but it is the country’s many Indigenous peoples and traditional communities that caught the attention of the team at Diorama.The country is also home to 850,000 Native peoples, living in 300 communities. They make up 1.1 percent of the country's 213.3 million inhabitants, according to the Brazilian Institute of Geography and Statistics.During the game’s planning, game developer Everaldo Neto says Araní’s willpower made her the ",neutral
35,"This article was originally published at Hakai Magazine and has been republished under Creative Commons.As early as 18,500 years ago, the first peoples in what is today known as the Americas spread south from Beringia, a now-sunken continent between Asia and North America. Inland travel was all but cut off by the massive Cordilleran Ice Sheet, which shrouded most of British Columbia, Yukon, and southeast Alaska in a thick layer of ice. But at its fringes, the ice sheet was melting, revealing a path of rugged islands and exposed coastline. People moved into this gap, slowly spreading down the coast in boats, following the “kelp highway,” and sojourning on islands along the way, such as Sanak and Kodiak in Alaska and Calvert in British Columbia. Now researchers including Chris Hebda, an archaeologist at the Hakai Institute*, have identified parts of northern Vancouver Island in British Columbia as ice-free, human-friendly lands.The evidence comes from Topknot Lake, located two kilometers inland on northwestern Vancouver Island, and Little Woss Lake, nestled among the mountains in the north-central part of the island.Drawing on satellite imagery, elevation data, an understanding of how the sea level has changed over the past several millennia, the chronology of ",neutral
36,"A long-standing informal working arrangement between two organizations that assist First Nation residents across the Sudbury and Manitoulin districts became a formal partnership with the signing of a protocol agreement Tuesday.This advertisement has not loaded yet, but your article continues below.Article contentWe apologize, but this video has failed to load.tap here to see other videos from our team. Try refreshing your browser, or Indigenous groups sign partnership; pledge to tackle lack of affordable housing in Sudbury Back to videoThe N’Swakamok Native Friendship Centre, which is based in downtown Sudbury, and Kina Gbezhgomi Child and Family Services, which is headquartered on Newgate Avenue in New Sudbury, are both Indigenous, culture-based organizations with mandates that are similar and complementary, yet distinct in responsibilities, governance, and community accountability structures.“We have been doing a lot of work together,” said Marie Meawasige, N’Swakamok Native Friendship Centre’s executive director, just prior to the agreement being signed at the centre on Elm Street.“The partnership agreement is our pledging to move forward, providing services to families in need in the City of (Greater) Sudbury. We have a large group of youth in transition – aged 16-21 – we are serving. We are going to be reviewing and working ",approval
37,"Would you like to receive further email communication from Technology Networks? - Select - Yes NoCountry* - Select - Afghanistan Albania Algeria American Samoa Andorra Angola Anguilla Antarctica Antigua & Barbuda Argentina Armenia Aruba Australia Austria Azerbaijan Bahamas Bahrain Bangladesh Barbados Belarus Belgium Belize Benin Bermuda Bhutan Bolivia Bonaire, Sint Eustatius and Saba Bosnia & Herzegovina Botswana Bouvet Island Brazil British Indian Ocean Territory British Virgin Islands Brunei Bulgaria Burkina Faso Burundi Cambodia Cameroon Canada Cape Verde Cayman Islands Chad Chile China Christmas Island Cocos (Keeling) Islands Colombia Comoros Cook Islands Costa Rica Croatia Cuba Curacao Cyprus Czech Republic Democratic Republic of the Congo Denmark Djibouti Dominica Dominican Republic East Timor Ecuador Egypt El Salvador Equatorial Guinea Eritrea Estonia Ethiopia Falkland Islands Faroe Islands Fiji Finland France French Guiana French Polynesia French Southern Territories Gabon Gambia Georgia Germany Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guam Guatemala Guernsey Guinea Guinea-Bissau Guyana Haiti Heard & McDonald Islands Honduras Hong Kong Hungary Iceland India Indonesia Iran Iraq Ireland Isle of Man Israel Italy Ivory Coast Jamaica Japan Jersey Jordan Kazakhstan Kenya Kiribati Kosovo Kuwait Kyrgyzstan Laos Latvia Lebanon Lesotho Liberia Libya Liechtenstein Lithuania Luxembourg Macau Macedonia Madagascar Malawi Malaysia Maldives Mali Malta Marshall ",curiosity
38,Why did this happen?Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading. For more information you can review our Terms of Service and Cookie Policy. ,curiosity
39,"Indigenous leaders slam the award, saying Brazil’s president has promoted policies that threaten their communities.Brazil’s justice ministry has awarded President Jair Bolsonaro the nation’s “medal of Indigenous merit”, drawing sharp criticism from Indigenous leaders who have long accused the far-right leader of promoting policies that have harmed their communities.Justice Minister Anderson Torres awarded the medal to Bolsonaro and 25 other honorees on Wednesday “in recognition of their significant altruistic service for the well-being, protection and defence of indigenous communities”, said a decree published in the official gazette.Torres also granted the medal to himself, Agriculture Minister Tereza Cristina, Infrastructure Minister Tarcisio Gomes and Defence Minister Walter Braga Netto.Indigenous leaders and their allies have accused Bolsonaro of trying to force Indigenous peoples in Brazil from their lands, by promoting environmental destruction and allowing rampant deforestation in the Amazon rainforest, home to many Indigenous groups.“Absurd,” tweeted Sonia Guajajara, national coordinator of the Association of Brazil’s Indigenous Peoples (APIB), about Wednesday’s decision.“As if all the reversals we’ve had weren’t enough, this barbaric dis-government has now added another: a medal of merit for Jair Bolsonaro and his allies for their ‘significant’ services to Indigenous peoples,” said Guajajara, adding that her organisation would go to court ",neutral
40,"Date: Thursday, March 24, 2022Contact: Interior_Press@ios.doi.govWASHINGTON — The Department of the Interior today announced that it is working with states to formally designate the Department-operated post-secondary Tribal institutions – Haskell Indian Nations University in Kansas and the Southwestern Indian Polytechnic Institute (SIPI) in New Mexico – as voter registration agencies under the National Voter Registration Act. This designation will facilitate voter registration opportunities for enrolled students and members of the community.The announcement follows the release of the White House’s Native American Voting Rights Report, which chronicles the barriers Native voters face and recommends actions for policymakers at every level to help break these barriers down.These efforts support President Biden’s Executive Order on Promoting Access to Voting, which aims to expand access to, and education about, voter registration and election information in order to enable all eligible Americans to participate in our democracy.“Tribal nations have played a significant role in influencing the contours of American democracy, yet systemic barriers continue to disenfranchise Indigenous people and impede a free and fair electoral process,” said Secretary Deb Haaland. “The Interior Department is committed to defending the right to vote, which includes increasing access to voter registration and engaging young people in our democratic ",neutral
41,"Send this page to someone via emailTania Cameron was watching the fallout from Russia’s invasion of Ukraine from her home in Kenora, Ont., when she felt the need to express her solidarity with Ukrainians on both sides of the world.“There are Ukrainian people in our towns and cities that are having a very hard time. They aren’t my people, but we are connected, so I’ll stand with you,” Cameron said in a phone interview.“If it’s something as simple as wearing a kokum scarf in solidarity, then that’s what I’ll do. If there’s any way I can support funds to help the humanitarian aid, then that’s what I’ll do.”Indigenous people across Canada have been showing their support of Ukraine by posting photos and videos of themselves on social media wearing what is known in many communities as “kokum scarves.”Story continues below advertisementCameron, who is Anishinaabe, saw the social media campaign and decided to join. She sourced the scarves from Indigenous and Ukrainian shops and distributed them Canada-wide at cost. She also held a raffle with proceeds going to the Red Cross.One Ukrainian senior in Kenora found out what Cameron was doing and asked if it was possible for Cameron to hand-deliver ",neutral
42,"The first national project to record mass killings on the Australian frontier has found that around half of all massacres of Aboriginal people were carried out by police and other government forces. Many others were perpetrated by settlers acting with tacit approval of the state.The final findings of the eight-year long Colonial Frontier Massacres Digital Map Project show that conflict was widespread and most massacres were planned, in a deliberate attempt to eradicate Aboriginal people and Aboriginal resistance to the colonisation of the country.Researchers have added 113 sites, mostly from Western Australia and the Northern Territory, in the final stage of the project. There are now 415 sites on the map, each representing a place where six or more people were killed.The most common excuse for a massacre was as a reprisal for the killing a colonist, and the number of people killed was heavily disproportionate. The death of one colonist could result in police-led revenge expeditions that lasted weeks or months. Researchers found that attacks on settlers, while often referred to in historical documents as the reason for a killing, often took place after the alleged “killing of Aboriginal or Torres Strait Islander people, abduction and sexual abuse of ",approval
43,"For some Indigenous Maasai tribes in Kenya, birdwatching is not so much a leisure activity as it is a survival tactic. The sight of an oxpecker, a gray and white bird with vivid yellow eyes, often indicates that dangerous water buffalos roam nearby. Meanwhile, the brown flash of a honeyguide bird might be the ticket to a calorie-dense meal — these birds can literally guide humans to honey.The honeyguides and oxpeckers of the world illustrate a key tenet of Indigenous knowledge, according to Kimaren ole Riamit, a member of the Maasai community in Kenya. “Nature takes care of us when we take care of it,” said ole Riamit, who has on several occasions followed honeyguides to beehives.Lessons like this are essential as the world faces a crisis of wildlife extinction and climate change. Yet Indigenous knowledge and those who wield it are often an afterthought in major efforts to protect nature, from the Paris Agreement to a big UN treaty on biodiversity loss.Ole Riamit, the executive director of a nonprofit called Indigenous Livelihoods Enhancement Partners, is among the Indigenous leaders pushing to elevate voices like his in these initiatives. He sees himself as a bridge between the Maasai world — ",neutral
44,"Climate scientists in the Arctic often conduct their fieldwork without input from the region’s Indigenous residents, some 1.13 million people including the Inuit in Alaska, Canada and Greenland and the Sami in Finland, Sweden and Norway.But a shift in thinking in scientific circles and in the agencies that guide and fund scientific research—including the National Science Foundation and the White House Office of Science and Technology Policy—augurs a new era of collaboration between the region’s first residents and the researchers studying climatic and environmental changes now occurring at the top of the world. ",approval
45,"Clarence Martin, on March 25, is the new community outreach coordinator for the Prince Rupert Indigenous Justice Centre. (Photo: Norman Galimski/The Northern View)Clarence Martin, his traditional Nisga’a Belx Sim Sgii, has rounded out the Prince Rupert Indigenous Justice Centre (PRIJC) as the new community outreach coordinator, enabling the organization to be fully staffed after moving to a new location in the summer of 2021.Taking over the role from Rudy Kelly on Jan. 31, Martin aims to improve the reach of the centre across the North Coast. Previously a court worker in the 1970s, Martin helped to “demystify” the legal system for indigenous clients. He hopes to use his experience to better serve Indigenous communities on the North Coast.The first step to accomplishing this goal is gathering as much information from across the region as possible. For the first time, the PRIJC will have a booth at the All Native Basketball Tournament to introduce themselves to the broader community and collect information through a survey.Martin, previously chairman of the tournament for many years, knows how far-reaching the event is in the region. He hopes to maximize the exposure it can bring to the people who can benefit from the centre’s services.The ",optimism
46,"When most New Zealanders hear the term “marae” they think of the typical Māori meeting house.The angular facade, decorated in red and white carvings, and the open space for the “encounter” where guests arrive in the warmth of welcome, in the grief of a tangi (funeral), or in the uncertainty of a disagreement.Technically, the “marae” refers to that open space, but most people assume it means the meeting house. In most parts of the North Island, marae – taking the common meaning of the meeting house and the open space – dot small, rural communities. In Te Teko, where I trace my whakapapa (ancestry), there are four marae within a couple kilometres of each other.Each marae on that golden mile in Te Teko acts as a physical statement – this is Māori land. Marae embody deep connections to the land and to the ancestors who exercised rights and responsibilities in respect of it. They make perfect sense in New Zealand.But in Australia, where the Sydney Marae Alliance are preparing to construct that country’s first marae, they make no sense. In a landmark deal the Alliance are planning a $4m facility in Greystanes, a suburb in western Sydney. For the 65,000 ",neutral
47,"A new travel agency that is entirely Indigenous-owned is officially up and running.Indigeno Travel formally launched during a ceremony Wednesday morning at its Winnipeg headquarters. The company, a partnership with Treaty One Development Corporation, Great Canadian Travel, and Continental Travel Group, will create travel and tourism career opportunities and revenue for Indigenous people across Canada.“I really loved the concept, the idea of what that would mean for Indigenous people here in this country,” said Chief Dennis Meeches of Long Plain First Nation. “I believe there are a lot of opportunities for all our people, Indigenous, non-Indigenous that we work with, to create such a company.The company is for both Indigenous and non-Indigenous people to use.“No matter where you are, or where you’re going, Indigeno is for all of us,” said Charlene Phillips, part-owner of Indigeno.In addition to helping book travel, the company is also working to develop Indigenous tourism experiences across Canada.“With our connections around the world, we could send Indigenous tourism experiences to over 7,000 agents and agencies all around the world,” said Chris Maxfield, one of the founders of Indigeno “So our goal, our challenge, is to develop those, get them what we call export ready to go, ",approval
48,"Sign up to get breaking news, weather forecasts, and more in your email inbox.Sign Up Now ",neutral
49,"'Weaving two worlds' looks at the resource sector's role within advancing reconciliation between Indigenous and non-Indigenous poeple.A new book by an Indigenous leader and a resource industry executive lays-out their vision for a new way forward: one in which the resource sector plays a meaningful role in advancing reconciliation with Indigenous peoples.Weaving two worlds, written by K’ómoks First Nation member and vice-president of Indigenous and stakeholder engagement at Falkirk Environmental Consultants, Christy Smith, and the founding partner and co-chair of Falkirk and past president and CEO of the Mining Association of B.C., Michael McPhie, is a call for change, as the resource sector’s relationship with Indigenous people has often been marked by protests, distrust, and anger.Smith and McPhie offer their two voices of two worlds—Indigenous and non-Indigenous—to deliver insights, knowledge and guidance from their decades of work between resources companies and Indigenous communities.“Since being involved in this practice area, I have recognized that those who build sincere relationships and gain trust have better success, while those who come in and want to check a box may as well walk away,” Smith said.The authors look to case studies and personal stories to offer practical skills and tips on how to build ",realization
50,"The sudden deaths of 15 Indigenous people in Thunder Bay require further investigation by police or the coroner’s office, including that of a two-month-old baby with cocaine in its system, investigators in Ontario say in a report that follows two investigations that found racism in the local force.A secondary report that will not be made public recommends an external review of 25 unsolved cases of missing and murdered Indigenous women and girls at the Thunder Bay Police Service’s criminal investigation branch.The main report was delivered last week to the Office of the Independent Police Review Director (OIPRD), the police board and Ontario’s Ministry of the Attorney-General. It has not yet been made public. It contains case summaries and comprehensive accounts of nine sudden deaths of Indigenous people that were reinvestigated, and cites shortcomings in police work, and a lack of documentation and coroner involvement.The recommendation for a review of the cases of missing women and girls is part of a confidential report investigators produced that is not in the final report to the OIPRD.Both reports were obtained by The Globe and Mail.The local police force and police board had already been investigated twice, after an inquest into the deaths of ",neutral
51,"Many of the Indigenous delegates meeting the Pope this week finished a private tour of the Vatican Museums yesterday disappointed, but the leader of the Inuit delegation says he was told by the curator of the Ethnological Museum that the Vatican is open to returning precious cultural belongings it has in its possession.Natan Obed, president of the Inuit Tapiriit Kanatami (ITK), met with Father Nicola Mapelli for a couple of hours at Obed's request after touring the museums, including the Sistine Chapel and some of the Indigenous cultural items from Canada in a new Anima Mundi exhibit that is not open to the public yet.""The curator was quite open to any scenario that we proposed, including repatriation,"" Obed said.""Nothing is off the table, as they have said to us.""The delegates saw just a portion of the Vatican's collection of Indigenous pieces, including a rare kayak about a century old from Inuvialuit in the Western Arctic.ITK board member Duane Smith, who is also the chair and CEO of the Inuvialuit Regional Corporation, last year called on the Vatican to return the kayak to Inuit. Smith declined to join this month's delegation to Rome.During Obed's conversation with Mapelli, the curator spoke about ",disappointment
52,"The Vancouver Canucks celebrated their fourth annual First Nations Night sporting special orange warmup jerseys before their game against the St. Louis Blues at Rogers Arena on Wednesday.The jerseys were designed by local Musqueam and Tsimshian artist Chase Gray.Gray used Coast Salish inspired art to design the Canucks logo. He used three Musqueam colors: tumuth, sunset yellow and black.Tweet from @Canucks: We are honoured to work and play on the traditional ancestral & unceded lands of the Musqueam, Squamish & Tsleil-Waututh First Nations.While our game will be a celebratory occasion, we must continue to acknowledge the history of injustice & genocide towards Indigenous peoples. pic.twitter.com/Q1HftGuCbfTweet from @Canucks: Look at these jerseys!!! 🤩🤩🤩 pic.twitter.com/3clOO7xvbJ""To me, creating this jersey was an opportunity to represent my family, art and culture,"" Gray told the Canucks website. ""It also gives me a chance to do that on a massive scale, while reminding everybody about the current significance of orange, and the orange shirt day movement. To be the person who designed the logo for the game that brings a ton of Indigenous people together to celebrate themselves as well is a huge honor.""The Canucks also held a ceremonial puck drop that featured special guests from ",joy
53,"Hetxw'ms Gyetxw spent his childhood on Gitxsan territory in the Northwest Interior of British Columbia, and he's seen the dramatic ways climate change has altered the land where he grew up. The river he used to skate on no longer freezes over. The glaciers he remembers have disappeared.""We've watched the world change,"" Hetxw'ms Gyetxw said in an interview. ""I'm going to be 40 this year, but in my lifetime I have watched our land change completely.""Hetxw'ms Gyetxw is Gitxsan, a matrilineal society which doesn't use last names. He goes by his full traditional name.Now living in Winnipeg with his family, Hetxw'ms Gyetxw has used his first-hand experience to bridge the gap between Indigenous knowledge and Western science, and to help create a new interactive tool aimed at understanding and addressing climate change in Canada.The Indigenous Knowledges component of the Climate Atlas of Canada, launched today, is the culmination of years of work by Hetxw'ms Gyetxw and the team at the University of Winnipeg's Prairie Climate Centre, in collaboration with Indigenous communities across the country.Hetxw'ms Gyetxw, seen here in a childhood photo with his grandparents, used to skate on this river in the winter. Now, he says, the Xsyeen River in ",neutral
54,"In their efforts to heal the damage done to Indigenous kids by Canada's foster care systems, members of Cowessess First Nation are building their own child welfare program rooted in the idea of keeping a ""home fire"" burning to connect children to their culture and community.""[The home fire] doesn't necessarily mean bringing all the children back home, but it … starts with that culture, feeling the land, remembering who you are and where you come from,"" said Nicole Cook, the associate CEO of the Chief Red Bear Children's Lodge, the new Cowessess-run child and family services agency on the Saskatchewan reserve.The community was in the spotlight last year after experts found what's believed to be 751 unmarked graves at the site of the former Marieval Residential School. It's the first to make use of Bill C-92, federal legislation passed in June 2019, which gives jurisdiction over child welfare back to First Nations.Cowessess is working to change a system that critics say has notoriously harmed Indigenous children and families, first with residential schools, then with the Sixties Scoop and since then through child and family services and foster care. While Indigenous children make up only 7.7 percent of the child population ",neutral
55,"Canada is continuing to “perform” reconciliation for the sake of its own reputation rather than implementing structural changes that would “rectify ongoing harms” and change the “disparate realities” that Indigenous peoples face in Canada, a recent report from the Yellowhead Institute charges.This comes six years after the Truth and Reconciliation Commission (TRC) released its Final Report and 94 Calls to Action with the goal of remedying the legacy of residential schools and advancing reconciliation.Last year, Canada implemented three calls from the report — more within three weeks than in the previous three years, according to the December 2021 report. In June alone, Canada appointed a language commissioner (No. 15), named a National Day for Truth and Reconciliation (No. 80) and changed the Oath of Citizenship (No. 94).Not a single call to action was completed in 2020, and 83 calls remain incomplete, it finds.While these calls were implemented with rapid speed, the report emphasizes that they came on the heels of deeply disturbing news that made international headlines: hundreds of children’s graves had been confirmed at a number of former residential schools.“Where ‘reconciliation’ happened this year, it was in response to pressure brought to bear by all of the international attention ",realization
56,"An investigative team that has been looking into sudden death cases in Thunder Bay, Ont., for years is recommending that police reinvestigate an additional 14, according to a confidential report leaked to CBC News.The cases involve Indigenous people and date back to between 2006 and 2019. The youngest person was two months old and the oldest was 61.The report is part of the final work of the Broken Trust committee, formed after the province's oversight agency, the Office of the Independent Police Review Director, found evidence of systemic racism in the city's police force in 2018.The committee called for the reinvestigation of the sudden deaths of nine Indigenous people. Part of the process was to consider if other sudden death investigations undertaken by the Thunder Bay Police Service should be conducted again.The leaked report, most recently updated in February, begins with a disclaimer that ""due to finite timelines and resources allocated to the process outlined in this report, cases provided here are not an exhaustive list,"" adding there may be other sudden death cases that ""warrant further investigation.""Brian Gray, a spokesperson with Ontario's Ministry of the Attorney General, confirmed to CBC News that the ministry has received and is now ",neutral
57,"British Columbia announced Thursday that the province would be dropping its mask mandates effective Friday at midnight and a leader in northern B.C. has mixed feelings about the decision.""I do have a bit of concern and I'm wondering if it's too early, but … I'm sure they have their experts looking into that,"" said Dianne Shanoss, executive director of the Gitanmaax Band, near Hazelton, B.C.Shanoss, who is Gitxsan, said the band has close to 800 people living there and currently has active COVID-19 cases.She said the band hasn't had any community lockdowns since April 2021, and they will continue to follow the province's lead when it comes to pandemic related guidelines.She expects to meet with Gitanmaax community health leaders to decide what the next steps are going to be when it comes to pandemic related decisions.Cases continue to trend downwardIndigenous Services Canada (ISC) said that as of Mar. 9, the department is aware of a total of 3,016 hospitalizations in First Nations communities due to COVID-19, and 677 deaths.According to data from ISC, there were 2,690 active cases of COVID-19 reported in First Nations as of Mar. 9. This is down from the 2,975 active cases reported as of Mar. ",neutral
58,"The Ministry of Education, in collaboration with the First Nations Education Steering Committee (FNESC), is implementing a new graduation requirement.Expected to take effect in the 2023-24 school year, this requirement will ensure all secondary students complete Indigenous-focused coursework before they graduate from B.C.’s K-12 education system.“We are deeply committed to lasting and meaningful reconciliation in B.C. – guided by the United Nations Declaration on the Rights of Indigenous Peoples while working co-operatively with Indigenous Peoples across the province to address the knowledge gaps in our K-12 curriculum,” said Jennifer Whiteside, Minister of Education.” This new requirement will deepen students’ understanding of the experiences, cultures, histories and knowledges of Indigenous Peoples. This will help us to understand the truths of our shared history, while also building knowledge so all students feel a sense of responsibility for our collective future.”Tyrone McNeil, president, FNESC, said: “For many years, FNESC, First Nations and our partners in the public education system have advocated for this important change to the B.C. graduation program. Building awareness and understanding of First Peoples’ perspectives, cultures and histories among all B.C. students will serve as an important step toward reconciliation and an effective strategy to combat racism within the province ",approval
59,"WASHINGTON — The 2020 census undercounted Black, Latino and Indigenous populations while over-counting white and Asian people, according to estimates from a report the U.S. Census Bureau released Thursday.The findings continue a long-standing struggle for the bureau with counting underrepresented groups while over-counting non-Hispanic white people. Many of them live in hard-to-reach areas, such as rural communities and areas with limited access to the internet.The data released Thursday was the result of two internal analyses that collected data through a sample survey of demographic records. The findings suggested the 2020 census missed Hispanics and Latinos at more than three times the rate in 2010 (an undercount rate of roughly 5 percent, as opposed to 1.5 percent in 2010).The Black population was undercounted at a rate of 3.3 percent, up from 2.1 percent in 2010. Indigenous people living on reservations were undercounted at a rate of 5.6 percent, higher than the 2010 rate of 4.9 percent. Indigenous people not living on reservations were not miscounted.Due to the pandemic, in-person door-knocking operations were suspended in March 2020 and only restarted in the late summer. Inaccurate or improperly processed data means many vulnerable groups could still be left out, altering the resources these ",neutral
60,"This advertisement has not loaded yet, but your article continues below.Ministers criticize Université Laval job posting as excluding white men The posting said that only candidates who self-identify as women, Indigenous people, people with disabilities or visible minorities would be selected. Photo by Graham Hughes / The Canadian Press filesArticle content QUEBEC — Several ministers in the Coalition Avenir Québec government expressed outrage on Wednesday at a job posting at Université Laval that they felt was extreme and even discriminatory because it excluded white men. We apologize, but this video has failed to load.tap here to see other videos from our team. Try refreshing your browser, or Ministers criticize Université Laval job posting as excluding white men Back to video The posting in question, published by the university in September for a Canada Research Chair in the biology department, was first criticized by comedian and former Parti Québécois leadership candidate Guy Nantel on social media.Advertisement 2 Story continues below This advertisement has not loaded yet, but your article continues below.Article content Question aux dirigeants de @universitelaval : quand un jeune homme blanc non-handicapé fait une demande pour étudier chez vous, est-ce que vous l’avisez en amont qu’il sera exclu de ",neutral
61,"(CNN) Marvel is changing the name and design of a character that debuted in a recent issue of the comic miniseries ""King Conan"" after it was criticized for its portrayal of an Indigenous woman.The third issue of "" King Conan ,"" published on February 16, finds its protagonist stranded on a island with a scantily clad princess named Matoaka. The princess, as it turns out, has a dark past: She hails from ""a land far to the west,"" and once fell in love with a man who tried to colonize her people. When the man ransacked her home, she killed him, but her father nonetheless exiled her to the island, where she's now cursed to lure other would-be colonizers away from her native land.To people in Indian Country, Matoaka's name and backstory were a clear reference to the real-life Pocahontas , who privately went by the same name.For centuries, Pocahantas has been romanticized and mythologized as a woman who defied her father to save the English colonist John Smith from execution. In reality, she was around 11 or 12 when she first met Smith, and historians have disputed Smith's claims that she rescued him at all. Later, she was kidnapped ",neutral
62,"Since time immemorial, American Indians, Alaska Natives, and Native Hawaiians have built vibrant and diverse cultures — safeguarding land, language, spirit, knowledge, and tradition across the generations. On Indigenous Peoples’ Day, our Nation celebrates the invaluable contributions and resilience of Indigenous peoples, recognizes their inherent sovereignty, and commits to honoring the Federal Government’s trust and treaty obligations to Tribal Nations.Our country was conceived on a promise of equality and opportunity for all people — a promise that, despite the extraordinary progress we have made through the years, we have never fully lived up to. That is especially true when it comes to upholding the rights and dignity of the Indigenous people who were here long before colonization of the Americas began. For generations, Federal policies systematically sought to assimilate and displace Native people and eradicate Native cultures. Today, we recognize Indigenous peoples’ resilience and strength as well as the immeasurable positive impact that they have made on every aspect of American society. We also recommit to supporting a new, brighter future of promise and equity for Tribal Nations — a future grounded in Tribal sovereignty and respect for the human rights of Indigenous people in the Americas and around the ",pride
63,"By David Kaimowitz, Senior Forestry Officer, Food and Agriculture Organization of the United Nations, and Manager, Forest and Farm FacilityAs leaders from around the globe gather for the 2021 United Nations Climate Change Conference (COP 26), it is vital that they recognize two important facts. The first is that we cannot reach climate goals without protecting and sustainably managing the carbon-absorbing forests that cover a third of the Earth’s land surface.The second is that we cannot protect forests without Indigenous Peoples. We know that forests do better when indigenous land rights are respected, with lower deforestation rates and carbon emissions. Currently, Indigenous Peoples and local communities manage at least 24% of the total above-ground carbon stored in the world’s tropical forests. Without them, we cannot win the race to save the planet.The good news is that there has been a recent sea-change towards recognition of the role that Indigenous Peoples must play for a healthier planet and the achievement of many of the SDGs, including Goal 13 (climate action) and Goal 15 (life on land). The deeply intertwined and rapidly worsening climate and biodiversity crises have started to convince major philanthropists of the need to take action and put Indigenous ",realization
64,"The Articulation of the Indigenous Peoples of Brazil (Apib), together with all its grassroots organisations, mobilised the largest delegation of Brazilian indigenous leaders in the history of the Climate Conference (CoP26) to discuss solutions to the climate crisis.More than 40 representatives of the indigenous peoples will be in Glasgow, Scotland, between October 31 and November 12 with the proposal to occupy the Conference and alert the world about the need to demarcate the indigenous lands and protect the indigenous peoples for the future of the planet.An excerpt from Apib’s message to world leaders, businessmen and civil society organisations attending CoP26, says:“We stand against false solutions based on technological innovations designed from the same developmental and productivist logic that causes climate change. We criticise solutions that do not recognise indigenous peoples and local communities as central to the defence of forests, the reduction of deforestation and fires and as essential to ensure that we reach the stated goal of keeping global warming below 1.5 degrees Celsius.”The Brazilian indigenous delegation at the conference will denounce the ongoing indigenous genocide and ecocide that is underway in Brazil, aggravated by the novel coronavirus disease (COVID-19) pandemic and the Federal Government’s death project.On the international ",neutral
65,"The lead author of a Rainforest Foundation Norway report showing how little funding goes to Indigenous peoples and local communities (IPLCs) for tenure and forest management writes that the reality is even worse than the “less than 1%” soundbite often shared.Over 10 years, $2.7 billion was given to support IPLCs’ tenure rights and forest management, which equals 0.74% of total development aid allocated to address climate change.Researchers further discovered that 17% of the funding to IPLC tenure and management went to projects that specifically included an IPLC organization, thus representing 0.13% of aid designated to climate change.This post is a commentary. The views expressed are those of the author, not necessarily Mongabay.Indigenous peoples and local communities (IPLCs) received an unprecedented level of attention, recognition and support at this year’s United Nations climate summit, known as COP26. This was the result of many years of consistent and strategic campaigning by IPLC groups and their allies, in combination with growing scientific evidence that shows how their custodianship of land and forests is an indispensable solution to climate change.In just about any panel or session I attended at COP26, one would hear the same soundbite: “Indigenous peoples receive less than 1% of climate ",realization
66,"Leaders of more than 100 nations, including Brazil, China and the United States, vowed on Monday, November 2, at climate talks in Glasgow to end deforestation by 2030. Brazil, where stretches of the Amazon rainforest have been cut down, was among the signatories. The countries who have signed the pledge, including Canada, Brazil, Russia, China, Indonesia, the Democratic Republic of the Congo, the UK and the US, cover around 85 per cent of the world's forests.📢 NEWS: At COP26, over 100 leaders have committed to halt and reverse forest loss and land degradation by 2030.""To have any chance of keeping below 1.5°C of global warming, we must halt deforestation"" -- Sir David AttenboroughLearn more:👉 https://t.co/KEQU6kbnaS#COP26 pic.twitter.com/uTSR63qw7L — COP26 (@COP26) November 2, 2021As part of this goal, at least USD 1.7bn of funding will be given directly to indigenous peoples and local communities (IPLCs) in recognition of their key role in protecting the planet's lands and forests, reported The Guardian. The governments of the US, Germany, Norway, Netherlands and UK are leading the funding pledge. Over 30 financial firms, including Aviva, Schroders and Axa, also pledged to stop investing in companies responsible for deforestation.'Another Decade of Deforestation'The pledge will demand ""transformative ",approval
67,"British Columbia announced Thursday that the province would be dropping its mask mandates effective Friday at midnight and a leader in northern B.C. has mixed feelings about the decision.""I do have a bit of concern and I'm wondering if it's too early, but … I'm sure they have their experts looking into that,"" said Dianne Shanoss, executive director of the Gitanmaax Band, near Hazelton, B.C.Shanoss, who is Gitxsan, said the band has close to 800 people living there and currently has active COVID-19 cases.She said the band hasn't had any community lockdowns since April 2021, and they will continue to follow the province's lead when it comes to pandemic related guidelines.She expects to meet with Gitanmaax community health leaders to decide what the next steps are going to be when it comes to pandemic related decisions.Cases continue to trend downwardIndigenous Services Canada (ISC) said that as of Mar. 9, the department is aware of a total of 3,016 hospitalizations in First Nations communities due to COVID-19, and 677 deaths.According to data from ISC, there were 2,690 active cases of COVID-19 reported in First Nations as of Mar. 9. This is down from the 2,975 active cases reported as of Mar. ",neutral
